発注伝票№,製番,製品№,ﾕﾆｯﾄ№,部品№,品番,図番,改訂,品名,形式寸法,発注日,納期,回答納期,確定納期,納入完了日,検収完了日,手配,仕入先,発注数,納入数,発注残数,検収累計数,未検収数,納入場所,備考,品番分類
302022,3804-00,3804-00,B,#400,,XAL607-0428,,ﾍﾞｱﾘﾝｸﾞｶﾗｰ,,2025/3/17 0:00,2025/5/8 0:00,,2025/5/8 0:00,2025/5/9 0:00,,外注加工,㈱福東製作所,1,1,0,0,1,,,部品
302023,3804-00,3804-00,B,#400,,XAL607-0429C,,ｼﾞｮｲﾝﾄ,※全加工,2025/3/17 0:00,2025/5/8 0:00,,2025/5/8 0:00,2025/5/9 0:00,,外注加工,㈱福東製作所,1,1,0,0,1,,,部品
302024,3804-00,3804-00,B,#500,,XAL607-0522(K-1),,ﾅｯﾄｽﾃｰ,※ﾅｯﾄ支給　(PLN55),2025/3/17 0:00,2025/5/8 0:00,,2025/5/8 0:00,2025/5/9 0:00,,外注加工,㈱福東製作所,1,1,0,0,1,,,部品
302025,3804-00,3804-00,B,#500,,XAL607-0523,,ﾍﾞｱﾘﾝｸﾞｹｰｽ,,2025/3/17 0:00,2025/5/8 0:00,,2025/5/8 0:00,2025/5/9 0:00,,外注加工,㈱福東製作所,1,1,0,0,1,,,部品
302026,3804-00,3804-00,B,#500,,XAL607-0524,,ﾍﾞｱﾘﾝｸﾞｵｻｴ,,2025/3/17 0:00,2025/5/8 0:00,,2025/5/8 0:00,2025/5/9 0:00,,外注加工,㈱福東製作所,1,1,0,0,1,,,部品
302027,3804-00,3804-00,B,#500,,XAL607-0525,,ﾍﾞｱﾘﾝｸﾞｶﾗｰ,,2025/3/17 0:00,2025/5/8 0:00,,2025/5/8 0:00,2025/5/9 0:00,,外注加工,㈱福東製作所,1,1,0,0,1,,,部品
302028,3804-00,3804-00,B,#500,,XAL607-0526A,,ｼﾞｮｲﾝﾄ,※全加工,2025/3/17 0:00,2025/5/8 0:00,,2025/5/8 0:00,2025/5/9 0:00,,外注加工,㈱福東製作所,1,1,0,0,1,,,部品
302029,3804-00,3804-00,B,#600,,XAL607-0626,,旋回軸,,2025/3/17 0:00,2025/5/8 0:00,,2025/5/8 0:00,2025/5/9 0:00,,外注加工,㈱福東製作所,1,1,0,0,1,,,部品
302030,3804-00,3804-00,B,#600,,XAL607-0631,,ﾍﾞｱﾘﾝｸﾞｹｰｽ,,2025/3/17 0:00,2025/5/8 0:00,,2025/5/8 0:00,2025/5/9 0:00,,外注加工,㈱福東製作所,1,1,0,0,1,,,部品
302031,3804-00,3804-00,B,#100,,XAL607-0114A,,ﾃｰﾌﾞﾙｽﾃｰ,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,吉田精工ｾﾚｸﾄ株式会社,2,2,0,0,2,,,部品
302032,3804-00,3804-00,B,#100,,XAL607-0115A,,ﾃｰﾌﾞﾙｽﾃｰ,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,吉田精工ｾﾚｸﾄ株式会社,2,2,0,0,2,,,部品
302033,3804-00,3804-00,B,#100,,XAL607-0116A,,ﾃｰﾌﾞﾙｽﾃｰ,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,吉田精工ｾﾚｸﾄ株式会社,2,2,0,0,2,,,部品
302034,3804-00,3804-00,B,#100,,XAL607-0117B,,ﾃｰﾌﾞﾙｽﾃｰ,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,吉田精工ｾﾚｸﾄ株式会社,2,2,0,0,2,,,部品
302035,3804-00,3804-00,B,#100,,XAL607-0118A,,ﾃｰﾌﾞﾙｽﾃｰ,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,吉田精工ｾﾚｸﾄ株式会社,6,6,0,0,6,,,部品
302036,3804-00,3804-00,B,#400,,XAL607-0431,,ﾓｰﾀ固定板,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,吉田精工ｾﾚｸﾄ株式会社,1,1,0,0,1,,,部品
302037,3804-00,3804-00,B,#400,,XAL607-0432,,ﾃﾝｼｮﾝ調整板,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,吉田精工ｾﾚｸﾄ株式会社,1,1,0,0,1,,,部品
302038,3804-00,3804-00,B,#500,,XAL607-0431,,ﾓｰﾀ固定板,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,吉田精工ｾﾚｸﾄ株式会社,1,1,0,0,1,,,部品
302039,3804-00,3804-00,B,#500,,XAL607-0432,,ﾃﾝｼｮﾝ調整板,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,吉田精工ｾﾚｸﾄ株式会社,1,1,0,0,1,,,部品
302040,3804-00,3804-00,B,#600,,XAL607-0615,,ｼﾞｮｲﾝﾄ,,2025/3/17 0:00,2025/5/9 0:00,,2025/5/9 0:00,2025/5/8 0:00,,外注加工,吉田精工ｾﾚｸﾄ株式会社,1,1,0,0,1,,,部品
